file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestExObjListAtom.java,org.apache.poi.hslf.record.TestExObjListAtom,testRecordType/0,false,43,2,1,2,4,0,1,0,43,0,0,0,0,0,2,1,0,0,0,0,0,10,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestExObjListAtom.java,org.apache.poi.hslf.record.TestExObjListAtom,testChange/0,false,81,2,1,4,7,0,2,0,81,0,0,0,0,0,2,2,0,0,0,0,0,15,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestExObjListAtom.java,org.apache.poi.hslf.record.TestExObjListAtom,testWrite/0,false,58,2,1,3,6,0,2,0,58,0,0,0,0,0,1,2,0,0,0,0,0,15,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestExObjListAtom.java,org.apache.poi.hslf.record.TestExObjListAtom,testGetSeed/0,false,49,2,1,2,6,0,2,0,49,0,0,0,0,0,4,2,0,0,0,0,0,11,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestAnimationInfoAtom.java,org.apache.poi.hslf.record.TestAnimationInfoAtom,testWrite/0,false,67,3,1,3,7,0,3,0,67,0,0,0,0,0,1,3,0,0,0,0,0,15,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestAnimationInfoAtom.java,org.apache.poi.hslf.record.TestAnimationInfoAtom,testRead/0,false,48,2,1,10,17,0,1,0,48,0,0,0,0,0,6,1,0,0,0,0,0,10,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestAnimationInfoAtom.java,org.apache.poi.hslf.record.TestAnimationInfoAtom,testNewRecord/0,false,77,3,1,6,12,0,3,0,77,0,0,0,0,0,2,3,0,0,0,0,0,17,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestSound.java,org.apache.poi.hslf.record.TestSound,testRealFile/0,false,36,8,5,12,31,0,9,0,36,2,0,0,0,4,2,11,0,2,0,0,0,34,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestTextRulerAtom.java,org.apache.poi.hslf.record.TestTextRulerAtom,testReadRuler/0,false,47,3,1,8,11,0,4,0,47,0,0,0,0,0,13,4,0,0,0,0,0,16,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestTextRulerAtom.java,org.apache.poi.hslf.record.TestTextRulerAtom,testWriteRuler/0,false,64,3,1,3,7,0,3,0,64,0,0,0,0,0,1,3,0,0,0,0,0,15,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestTextRulerAtom.java,org.apache.poi.hslf.record.TestTextRulerAtom,testRead2/0,false,74,3,1,5,8,0,3,0,74,0,0,0,0,0,2,3,0,0,0,0,0,15,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestExOleObjAtom.java,org.apache.poi.hslf.record.TestExOleObjAtom,testRead/0,false,38,2,1,8,10,0,1,0,38,0,0,0,0,0,4,1,0,0,0,0,0,9,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestExOleObjAtom.java,org.apache.poi.hslf.record.TestExOleObjAtom,testWrite/0,false,51,2,1,3,6,0,2,0,51,0,0,0,0,0,1,2,0,0,0,0,0,15,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestExOleObjAtom.java,org.apache.poi.hslf.record.TestExOleObjAtom,testNewRecord/0,false,59,2,1,9,12,0,2,0,59,0,0,0,0,0,3,2,0,0,0,0,0,16,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestSlidePersistAtom.java,org.apache.poi.hslf.record.TestSlidePersistAtom,testRecordType/0,false,39,2,1,2,4,0,1,0,39,0,0,0,0,0,2,1,0,0,0,0,0,9,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestSlidePersistAtom.java,org.apache.poi.hslf.record.TestSlidePersistAtom,testFlags/0,false,45,2,1,6,7,0,1,0,45,0,0,0,0,0,4,1,0,0,0,0,0,9,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestSlidePersistAtom.java,org.apache.poi.hslf.record.TestSlidePersistAtom,testWrite/0,false,54,2,1,3,6,0,2,0,54,0,0,0,0,0,1,2,0,0,0,0,0,14,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hslf/record/TestDocumentEncryptionAtom.java,org.apache.poi.hslf.record.TestDocumentEncryptionAtom,encryptionTypeName/0,false,104,2,1,2,6,0,2,0,104,0,0,0,0,2,2,2,0,0,0,0,0,16,1
