file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/AddDimensionedImage.java,org.apache.poi.hssf.usermodel.examples.AddDimensionedImage,"addImageToSheet/7[int,int,org.apache.poi.hssf.usermodel.examples.HSSFSheet,java.lang.String,double,double,int]",false,253,5,7,11,28,0,13,7,253,0,6,0,4,2,8,19,1,1,0,0,0,115,2
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/AddDimensionedImage.java,org.apache.poi.hssf.usermodel.examples.AddDimensionedImage$ConvertImageUnits,millimetres2WidthUnits/1[double],false,884,1,1,1,3,1,0,1,884,0,0,0,2,0,0,0,1,0,0,0,0,19,9
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/AddDimensionedImage.java,org.apache.poi.hssf.usermodel.examples.AddDimensionedImage$ConvertImageUnits,pixel2WidthUnits/1[int],false,843,0,1,0,5,1,1,1,843,0,0,0,3,0,0,2,3,0,0,0,0,32,9
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/AddDimensionedImage.java,org.apache.poi.hssf.usermodel.examples.AddDimensionedImage$ConvertImageUnits,widthUnits2Pixel/1[short],false,854,0,1,1,6,1,2,1,854,0,0,0,2,0,0,3,5,0,0,0,0,34,9
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/AddDimensionedImage.java,org.apache.poi.hssf.usermodel.examples.AddDimensionedImage$ConvertImageUnits,widthUnits2Millimetres/1[short],false,871,1,1,1,3,1,0,1,871,0,0,0,1,0,0,0,1,0,0,0,0,21,9
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/AddDimensionedImage.java,org.apache.poi.hssf.usermodel.examples.AddDimensionedImage$ClientAnchorDetail,getFromIndex/0,false,780,0,1,0,3,1,0,0,780,0,0,0,1,0,0,0,0,0,0,0,0,28,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/AddDimensionedImage.java,org.apache.poi.hssf.usermodel.examples.AddDimensionedImage$ClientAnchorDetail,getToIndex/0,false,792,0,1,0,3,1,0,0,792,0,0,0,1,0,0,0,0,0,0,0,0,31,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/AddDimensionedImage.java,org.apache.poi.hssf.usermodel.examples.AddDimensionedImage$ClientAnchorDetail,"ClientAnchorDetail/3[int,int,int]",true,766,0,1,0,5,0,0,3,766,0,0,0,0,0,0,3,0,0,0,0,0,39,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/AddDimensionedImage.java,org.apache.poi.hssf.usermodel.examples.AddDimensionedImage$ClientAnchorDetail,getInset/0,false,802,0,1,0,3,1,0,0,802,0,0,0,1,0,0,0,0,0,0,0,0,20,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/NewSheet.java,org.apache.poi.hssf.usermodel.examples.NewSheet,main/1[java.lang.String[]],false,30,1,1,5,11,0,3,1,30,0,0,2,0,3,1,3,0,2,0,0,0,16,9
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/WorkingWithFonts.java,org.apache.poi.hssf.usermodel.examples.WorkingWithFonts,main/1[java.lang.String[]],false,34,6,1,13,19,0,7,1,34,0,0,2,0,4,3,7,0,2,0,0,0,30,9
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/MergedCells.java,org.apache.poi.hssf.usermodel.examples.MergedCells,main/1[java.lang.String[]],false,33,5,1,6,12,0,5,1,33,0,0,2,0,3,6,5,0,2,0,0,0,27,9
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/OfficeDrawing.java,org.apache.poi.hssf.usermodel.examples.OfficeDrawing,"loadPicture/2[java.lang.String,org.apache.poi.hssf.usermodel.examples.HSSFWorkbook]",false,174,1,2,4,9,1,4,2,174,1,1,1,1,0,1,4,0,1,0,0,0,18,10
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/OfficeDrawing.java,org.apache.poi.hssf.usermodel.examples.OfficeDrawing,drawSheet2/1[org.apache.poi.hssf.usermodel.examples.HSSFSheet],false,78,4,1,6,8,0,2,1,78,0,0,0,0,0,5,2,0,0,0,0,0,12,10
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/OfficeDrawing.java,org.apache.poi.hssf.usermodel.examples.OfficeDrawing,main/1[java.lang.String[]],false,31,3,1,7,17,0,7,1,31,0,0,2,0,6,0,7,0,2,0,0,0,27,9
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/OfficeDrawing.java,org.apache.poi.hssf.usermodel.examples.OfficeDrawing,drawGrid/1[org.apache.poi.hssf.usermodel.examples.HSSFPatriarch],false,243,3,3,3,28,0,12,1,243,2,0,0,8,0,26,20,8,1,0,0,0,21,10
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/OfficeDrawing.java,org.apache.poi.hssf.usermodel.examples.OfficeDrawing,drawOval/1[org.apache.poi.hssf.usermodel.examples.HSSFPatriarch],false,187,3,1,7,10,0,2,1,187,0,0,0,0,0,15,2,1,0,0,0,0,13,10
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/OfficeDrawing.java,org.apache.poi.hssf.usermodel.examples.OfficeDrawing,drawSheet3/1[org.apache.poi.hssf.usermodel.examples.HSSFSheet],false,94,7,1,10,13,0,5,1,94,0,0,0,1,0,25,5,0,0,0,0,0,20,10
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/OfficeDrawing.java,org.apache.poi.hssf.usermodel.examples.OfficeDrawing,drawSheet1/1[org.apache.poi.hssf.usermodel.examples.HSSFSheet],false,55,6,1,11,13,0,3,1,55,0,0,0,0,0,13,3,0,0,0,0,0,22,10
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/OfficeDrawing.java,org.apache.poi.hssf.usermodel.examples.OfficeDrawing,"drawSheet4/2[org.apache.poi.hssf.usermodel.examples.HSSFSheet,org.apache.poi.hssf.usermodel.examples.HSSFWorkbook]",false,119,7,1,11,19,0,6,2,119,0,0,0,0,3,31,6,1,0,0,0,0,25,10
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/OfficeDrawing.java,org.apache.poi.hssf.usermodel.examples.OfficeDrawing,"drawSheet5/2[org.apache.poi.hssf.usermodel.examples.HSSFSheet,org.apache.poi.hssf.usermodel.examples.HSSFWorkbook]",false,149,6,1,6,15,0,3,2,149,0,0,0,0,3,24,5,0,0,0,0,0,19,10
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/OfficeDrawing.java,org.apache.poi.hssf.usermodel.examples.OfficeDrawing,drawLinesToCenter/1[org.apache.poi.hssf.usermodel.examples.HSSFPatriarch],false,284,3,1,3,26,0,8,1,284,0,0,0,0,0,32,8,0,1,0,0,0,15,10
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/OfficeDrawing.java,org.apache.poi.hssf.usermodel.examples.OfficeDrawing,drawPolygon/1[org.apache.poi.hssf.usermodel.examples.HSSFPatriarch],false,200,6,1,7,14,0,4,1,200,0,0,0,0,0,42,4,0,0,0,0,0,16,10
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/OfficeDrawing.java,org.apache.poi.hssf.usermodel.examples.OfficeDrawing,drawManyLines/1[org.apache.poi.hssf.usermodel.examples.HSSFPatriarch],false,222,3,2,4,17,0,8,1,222,1,0,0,0,0,14,11,0,1,0,0,0,20,10
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/Borders.java,org.apache.poi.hssf.usermodel.examples.Borders,main/1[java.lang.String[]],false,35,5,1,16,21,0,6,1,35,0,0,2,0,2,3,6,0,2,0,0,0,23,9
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/EventExample.java,org.apache.poi.hssf.usermodel.examples.EventExample,main/1[java.lang.String[]],false,95,4,1,4,13,0,5,1,95,0,0,3,0,2,1,5,0,3,0,0,0,42,9
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/EventExample.java,org.apache.poi.hssf.usermodel.examples.EventExample,processRecord/1[org.apache.poi.hssf.record.Record],false,43,7,10,13,35,0,6,1,43,1,2,0,0,11,1,7,5,1,0,0,0,43,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/CreateDateCells.java,org.apache.poi.hssf.usermodel.examples.CreateDateCells,main/1[java.lang.String[]],false,37,5,1,9,16,0,6,1,37,0,0,2,0,3,3,7,0,2,0,0,0,25,9
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/InCellLists.java,org.apache.poi.hssf.usermodel.examples.InCellLists$MultiLevelListItem,"MultiLevelListItem/2[java.lang.String,java.util.ArrayList<java.lang.String>]",true,513,0,1,0,4,0,0,2,513,0,0,0,0,0,0,2,0,0,0,0,0,29,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/InCellLists.java,org.apache.poi.hssf.usermodel.examples.InCellLists$MultiLevelListItem,getItemText/0,false,524,0,1,0,3,1,0,0,524,0,0,0,1,0,0,0,0,0,0,0,0,12,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/InCellLists.java,org.apache.poi.hssf.usermodel.examples.InCellLists$MultiLevelListItem,getLowerLevelItems/0,false,534,0,1,0,3,1,0,0,534,0,0,0,1,0,0,0,0,0,0,0,0,19,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/InCellLists.java,org.apache.poi.hssf.usermodel.examples.InCellLists,"multiLevelNumberedListInCell/7[org.apache.poi.hssf.usermodel.examples.HSSFWorkbook,java.util.ArrayList<org.apache.poi.hssf.usermodel.examples.InCellLists.MultiLevelListItem>,org.apache.poi.hssf.usermodel.examples.HSSFCell,int,int,int,int]",false,379,5,5,11,29,0,5,7,379,2,1,0,2,5,0,7,0,3,0,0,0,74,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/InCellLists.java,org.apache.poi.hssf.usermodel.examples.InCellLists,"multiLevelBulletedListInCell/3[org.apache.poi.hssf.usermodel.examples.HSSFWorkbook,java.util.ArrayList<org.apache.poi.hssf.usermodel.examples.InCellLists.MultiLevelListItem>,org.apache.poi.hssf.usermodel.examples.HSSFCell]",false,435,5,5,11,23,0,3,3,435,2,1,0,2,4,0,3,0,3,0,0,0,58,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/InCellLists.java,org.apache.poi.hssf.usermodel.examples.InCellLists,"multiLevelListInCell/3[org.apache.poi.hssf.usermodel.examples.HSSFWorkbook,java.util.ArrayList<org.apache.poi.hssf.usermodel.examples.InCellLists.MultiLevelListItem>,org.apache.poi.hssf.usermodel.examples.HSSFCell]",false,318,5,5,10,19,0,3,3,318,2,1,0,2,2,0,3,0,3,0,0,0,56,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/InCellLists.java,org.apache.poi.hssf.usermodel.examples.InCellLists,"listInCell/3[org.apache.poi.hssf.usermodel.examples.HSSFWorkbook,java.util.ArrayList<java.lang.String>,org.apache.poi.hssf.usermodel.examples.HSSFCell]",false,215,4,2,7,11,0,2,3,215,1,0,0,0,1,0,2,0,1,0,0,0,52,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/InCellLists.java,org.apache.poi.hssf.usermodel.examples.InCellLists,"numberedListInCell/5[org.apache.poi.hssf.usermodel.examples.HSSFWorkbook,java.util.ArrayList<java.lang.String>,org.apache.poi.hssf.usermodel.examples.HSSFCell,int,int]",false,248,4,2,8,14,0,3,5,248,1,0,0,0,2,0,4,0,1,0,0,0,61,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/InCellLists.java,org.apache.poi.hssf.usermodel.examples.InCellLists,"bulletedItemInCell/3[org.apache.poi.hssf.usermodel.examples.HSSFWorkbook,java.lang.String,org.apache.poi.hssf.usermodel.examples.HSSFCell]",false,186,5,1,6,9,0,4,3,186,0,0,0,0,1,0,4,1,0,0,0,0,41,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/InCellLists.java,org.apache.poi.hssf.usermodel.examples.InCellLists,demonstrateMethodCalls/1[java.lang.String],false,68,6,2,20,67,0,7,1,68,0,0,2,0,26,28,21,2,2,0,0,0,52,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/InCellLists.java,org.apache.poi.hssf.usermodel.examples.InCellLists,main/1[java.lang.String[]],false,475,1,1,1,3,0,0,1,475,0,0,0,0,1,0,0,0,0,0,0,0,30,9
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/InCellLists.java,org.apache.poi.hssf.usermodel.examples.InCellLists,"bulletedListInCell/3[org.apache.poi.hssf.usermodel.examples.HSSFWorkbook,java.util.ArrayList<java.lang.String>,org.apache.poi.hssf.usermodel.examples.HSSFCell]",false,282,4,2,7,12,0,2,3,282,1,0,0,0,2,0,2,1,1,0,0,0,45,1
/projects3/poi/src/examples/src/org/apache/poi/hssf/usermodel/examples/RepeatingRowsAndColumns.java,org.apache.poi.hssf.usermodel.examples.RepeatingRowsAndColumns,main/1[java.lang.String[]],false,32,7,1,14,24,0,10,1,32,0,0,2,0,8,3,10,0,2,0,0,0,32,9
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/ReadCustomPropertySets.java,org.apache.poi.hpsf.examples.ReadCustomPropertySets,out/1[java.lang.String],false,122,0,1,1,3,0,0,1,122,0,0,0,0,0,0,0,0,0,0,0,0,2,10
